#   gal ID      M*           (g-r)       SFR
    1226    7.9399e+07     0.7316    1.0000e-05
    1227    5.1113e+07     0.6994    1.0000e-05
    1231    3.1795e+07     0.6888    1.0000e-05
    1243    2.7717e+07     0.6947    1.0000e-05
    1246    4.1809e+07     0.7079    1.0000e-05
    1257    7.3766e+07     0.7350    1.0000e-05
    1272    1.1619e+08     0.8252    1.0000e-05
    1284    3.6613e+07     0.6989    1.0000e-05
    1295    5.7885e+07     0.7271    1.0000e-05
    1300    3.4411e+07     0.7093    1.0000e-05
    1306    3.4015e+07     0.6921    1.0000e-05
    1309    5.1716e+07     0.7193    1.0000e-05
    1312    3.1027e+07     0.6875    1.0000e-05
    1316    5.6416e+07     0.7530    1.0000e-05
    1323    8.4025e+07     0.7670    1.0000e-05
    1340    2.6047e+07     0.6820    1.0000e-05
    1393    7.6648e+07     0.7585    1.0000e-05
    1422    5.2921e+07     0.7344    1.0000e-05
    1431    9.6178e+07     0.8086    1.0000e-05
    1459    4.2265e+07     0.7161    1.0000e-05
    1477    4.0599e+07     0.6119    1.0000e-05
    1503    8.7400e+07     0.8093    1.0000e-05
    1533    4.4202e+07     0.7222    1.0000e-05
    1540    3.0578e+07     0.7016    1.0000e-05
    1550    2.9755e+07     0.7089    1.0000e-05
    1565    4.4303e+07     0.7261    1.0000e-05
    1568    7.3365e+07     0.7778    1.0000e-05
    1569    3.3170e+07     0.7052    1.0000e-05
    1577    6.0939e+07     0.7546    1.0000e-05
    1631    2.5753e+07     0.6770    1.0000e-05
    1638    4.5981e+07     0.7280    1.0000e-05
    1653    8.4338e+07     0.8589    1.0000e-05
    1655    2.8196e+07     0.6976    1.0000e-05
    1663    3.8733e+07     0.7169    1.0000e-05
    1691    2.8711e+07     0.7103    1.0000e-05
    1693    2.8606e+07     0.6890    1.0000e-05
    1721    5.9757e+07     0.8021    1.0000e-05
    1815    4.5690e+07     0.7406    1.0000e-05
    1853    4.6536e+07     0.7452    1.0000e-05
    1856    3.1464e+07     0.7143    1.0000e-05
    1934    2.9305e+07     0.7330    1.0000e-05
    1936    6.6288e+07     0.8345    1.0000e-05
    2004    4.6024e+07     0.7685    1.0000e-05
    2140    4.3838e+07     0.7778    1.0000e-05
    2185    2.5809e+07     0.7086    1.0000e-05
    2203    3.5355e+07     0.7449    1.0000e-05
    2235    3.6146e+07     0.7392    1.0000e-05
    2238    3.0694e+07     0.7361    1.0000e-05
    2265    2.5820e+07     0.6934    1.0000e-05
    2299    2.7368e+07     0.7046    1.0000e-05
    2325    3.0667e+07     0.7299    1.0000e-05
    2378    4.4396e+07     0.8219    1.0000e-05
    2400    5.1821e+07     0.7971    1.0000e-05
