#     M*           rh* 
   1.4232e+08     1.3515
   3.3610e+07     1.8656
   2.5261e+07     1.6921
   1.3682e+08     0.8547
   8.5964e+07     1.2056
   2.5710e+07     1.6421
   5.6255e+07     1.2165
   7.0137e+07     1.8693
   3.7101e+07     1.5699
   4.5355e+07     1.7097
   3.6314e+07     1.6738
   4.6217e+07     1.7978
   5.1631e+07     1.5393
   9.4748e+07     1.0004
   1.1466e+08     0.8658
   5.6583e+07     0.8173
   1.0053e+08     1.3545
   1.1466e+08     0.8536
   9.9146e+07     0.5463
   2.9671e+07     2.1347
   2.5457e+07     1.7715
   2.5738e+07     1.5732
   4.8375e+07     1.5682
   6.7280e+07     0.9671
   2.6470e+07     1.5315
   2.6587e+07     2.0055
   6.8473e+07     1.3952
   6.0054e+07     1.1646
   4.4219e+07     1.8200
   3.2496e+07     1.4544
   5.0392e+07     1.4762
   2.7400e+07     1.3728
   3.0723e+07     1.7007
   3.4976e+07     1.3991
   2.7440e+07     1.3058
   3.6234e+07     1.2688
   3.1193e+07     1.5067
   3.7243e+07     0.7437
   4.8730e+07     0.6755
   7.2746e+08     1.4570
   6.2682e+08     3.5837
   4.9997e+08     1.9547
   3.4601e+08     1.6943
   7.9602e+08     1.5931
   7.2548e+08     2.6112
   3.6623e+08     2.0495
   6.5257e+08     2.2290
   8.9409e+08     2.9392
   7.6548e+08     0.5703
   3.5613e+08     1.5482
   5.7335e+08     2.3056
   8.6973e+08     1.3182
   1.0868e+09     0.6279
   6.0275e+07     0.8418
   1.0493e+08     0.6302
   7.2833e+08     1.5963
   1.6265e+08     2.1268
   2.8212e+08     0.6339
   3.5674e+08     0.4569
   1.3451e+08     1.1114
   5.7350e+08     4.3030
   1.6402e+08     0.6154
   2.1636e+08     1.2520
   1.1051e+09     2.9319
   4.4994e+07     1.3426
   1.1238e+08     0.5755
   3.2792e+08     1.3164
   1.6882e+08     0.8109
   5.0774e+08     1.7784
   6.1580e+08     2.0606
   1.2039e+09     1.3397
   5.8211e+07     1.0167
   1.1137e+08     1.4078
   1.6127e+08     2.1795
   7.5526e+07     0.9708
   6.0230e+07     0.9628
   2.3409e+08     1.0699
   6.4939e+07     1.1057
   1.4335e+08     0.5868
   2.4562e+08     1.6653
   7.0366e+08     2.0055
   2.5415e+08     1.7707
   2.9559e+08     2.7295
   5.0773e+08     2.0366
   3.4283e+07     1.3163
   1.7973e+08     0.9730
   5.7489e+07     1.0466
   1.0295e+08     1.9465
   8.9922e+07     1.1047
   3.9483e+07     1.6178
   2.4027e+08     1.2356
   1.0913e+08     1.9652
   4.4817e+07     1.2619
   8.9417e+07     1.1854
   5.5960e+07     1.0614
   8.0910e+07     0.9742
   3.3202e+07     1.2727
   8.2676e+07     1.0051
   8.8240e+07     1.1438
   1.6532e+08     1.8449
   4.2681e+07     1.1313
   3.9812e+07     1.3928
   1.1686e+08     1.2902
   5.1953e+07     1.1637
   5.3413e+07     1.5389
   3.4882e+08     2.6049
   8.2583e+07     1.4240
   4.0862e+07     1.4110
   2.2073e+08     2.1610
   3.2420e+08     2.3155
   1.2573e+08     1.4258
   5.8854e+07     1.3390
   7.0247e+07     1.0814
   1.4446e+08     1.2724
   1.3493e+08     1.3911
   1.1603e+08     1.4168
   5.9466e+07     1.6634
   1.5533e+08     1.8205
   1.1024e+08     1.1408
   2.7477e+07     1.9220
   1.1002e+08     0.8183
   8.4057e+07     1.8296
   2.9738e+08     1.7691
   1.5826e+08     0.8742
   2.5863e+07     1.4603
   3.3804e+07     1.3226
   1.5327e+08     1.7167
   1.1232e+08     0.6862
   8.1716e+07     1.7573
   2.8600e+08     1.5822
   2.7293e+07     1.2386
   5.7218e+08     0.5307
   2.9935e+07     1.3112
   2.4416e+08     1.0730
   1.1475e+08     1.7209
   1.9107e+08     1.8307
   3.1497e+08     1.0182
   4.1103e+08     0.8485
   5.0306e+07     1.4410
   4.7658e+07     1.9132
   2.0898e+08     1.3803
   1.3469e+08     1.3392
   3.7447e+08     0.7710
   6.3233e+07     1.7274
   2.8354e+07     1.4437
   2.3109e+08     0.8148
   4.2433e+07     1.7746
   5.6293e+07     1.4074
   3.0470e+07     1.2591
   2.8842e+07     2.7858
   6.4908e+07     1.3841
   6.0935e+07     1.2955
   9.5913e+07     1.5639
   7.1376e+07     0.9888
   2.0658e+08     1.6691
   9.3404e+07     0.9432
   2.6035e+08     0.6411
   4.8171e+07     1.9207
   7.8379e+07     1.2766
   2.5224e+07     2.2726
   2.7305e+07     3.0699
   7.9157e+07     1.3525
   1.5945e+08     1.1751
   4.3369e+07     1.7184
   2.7154e+07     1.4831
   1.1578e+08     1.8384
   4.6323e+07     1.6215
   3.0298e+07     2.0145
   1.1555e+08     1.3011
   2.6423e+07     1.7482
