#   gal ID      M*           rh* 
   96803    8.9876e+08     2.0240
   96811    6.1375e+08     2.7188
   96812    1.2789e+08     0.4480
   96813    8.1205e+08     3.5250
   96816    1.1332e+09     1.3197
   96817    8.3494e+07     1.1856
   96818    1.3636e+08     0.9582
   96819    3.1344e+08     5.0206
   96820    2.8914e+08     0.7714
   96821    2.3150e+08     0.9043
   96822    3.0612e+08     0.4257
   96823    3.4986e+07     1.1105
   96824    5.5087e+08     0.4262
   96825    4.7401e+08     1.1278
   96826    9.6891e+08     2.2925
   96827    3.7041e+08     2.3377
   96829    1.0268e+09     1.2827
   96830    1.2190e+09     1.3545
   96831    8.9308e+08     1.1975
   96832    1.3857e+08     0.5629
   96834    2.7100e+08     1.5646
   96835    1.5942e+08     3.4253
   96836    2.4081e+08     2.2098
   96837    1.0506e+08     1.5358
   96840    1.7452e+08     1.6054
   96841    3.0756e+08     1.7796
   96842    1.7806e+08     0.8419
   96843    9.9719e+07     1.2749
   96845    2.9281e+07     1.1990
   96846    1.6162e+08     3.6271
   96847    4.5941e+08     1.9921
   96848    5.7336e+07     1.1556
   96851    5.1637e+08     0.9921
   96852    1.4135e+08     0.5310
   96853    9.8769e+08     0.4027
   96856    3.3225e+07     1.6255
   96858    3.2624e+07     1.0957
   96859    9.0074e+07     0.9070
   96860    5.8451e+07     1.7811
   96862    1.5399e+08     3.2068
   96864    9.9029e+07     1.2931
   96867    1.7147e+08     2.9443
   96870    2.3087e+08     2.2295
   96871    1.3455e+08     1.5107
   96872    3.1011e+07     1.1311
   96873    7.6754e+07     1.8665
   96877    5.5287e+07     2.5278
   96879    4.0508e+08     1.1837
   96882    7.7512e+07     1.5077
   96884    1.0645e+08     1.7537
   96886    5.7663e+08     0.4366
   96887    3.3826e+08     1.4657
   96891    2.9241e+08     1.3950
   96893    2.8502e+08     2.0523
   96898    6.8751e+07     1.2730
   96902    9.8512e+07     1.5043
   96903    9.7932e+07     1.6224
   96904    5.0031e+07     2.0939
   96908    3.2956e+07     1.4336
   96912    8.5471e+07     1.5628
   96913    6.4186e+07     1.3668
   96916    9.0465e+07     1.7858
   96917    9.0810e+07     1.7960
   96918    1.7546e+08     1.3158
   96923    3.0640e+08     1.0644
   96925    9.3290e+07     1.4585
   96926    3.3229e+07     1.2187
   96927    7.7301e+07     2.4339
   96930    1.1564e+08     1.6093
   96933    2.5161e+07     1.6187
   96936    1.3925e+08     2.3670
   96938    8.0027e+07     1.4607
   96939    2.3398e+08     1.5391
   96941    3.3268e+08     0.6605
   96942    1.2769e+08     1.6386
   96947    2.0430e+08     1.3816
   96954    4.2836e+07     1.2815
   96955    1.1583e+08     1.3444
   96957    1.1276e+08     1.8535
   96960    1.0439e+08     2.0512
   96962    1.3434e+08     1.8642
   96963    4.1424e+07     1.8467
   96969    2.9024e+07     1.3851
   96970    1.8093e+08     1.5107
